"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"U3B5IKX9","book","2012","House, Jonathan M.","A military history of the Cold War, 1944-1962","","978-0-8061-4262-3","","","","","2012","2025-03-24 18:41:49","2025-03-24 18:42:33","","","546","","","","","","Campaigns and commanders","v. 34","","","University of Oklahoma Press","Norman","","","","","","Library Catalog (Blacklight)","D842.2 .H68 2012","OCLC: 781077414","","","https://catalog.libraries.psu.edu/catalog/9377473","interlibrary","Cold War; 20th century; Military history, Modern","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3PDPE8DT","book","1979","Merritt, Jeffrey D.; Goulden, Steven L.","Day by day, the fifties","","978-0-87196-383-3","","","","","1979","2025-03-24 18:45:07","2025-03-24 18:45:16","","","1015","","","","","","","","","","Facts on File","New York","","","","","","Library Catalog (Blacklight)","D842.5 .M47 1979","","","","https://catalog.libraries.psu.edu/catalog/967309","interlibrary","1945-1989; History, Modern; Chronology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N7YM5XJX","book","1996","Parrish, Thomas","The Cold War encyclopedia","","978-0-8050-2778-5","","","","","1996","2025-03-24 18:46:45","2025-03-24 18:46:54","","","490","","","","","","A Henry Holt reference book","","","","H. Holt","New York","","","","","","Library Catalog (Blacklight)","D840 .P28 1995","","","","https://catalog.libraries.psu.edu/catalog/1474705","interlibrary","Cold War; World politics; 1945-1989; Encyclopedias","","","","","","","","","","","","","","","","","","","","1st ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIDIZBWH","book","2012","","Religion and the Cold War: a global perspective","","978-0-8265-1852-1 978-0-8265-1853-8 978-0-8265-1854-5","","","","","2012","2025-03-24 18:49:11","2025-03-24 18:49:25","","","314","","","","","Religion and the Cold War","","","","","Vanderbilt University Press","Nashville","","","","","","Library Catalog (Blacklight)","D842 .R45 2012","","","","https://catalog.libraries.psu.edu/catalog/8739578","interlibrary","Cold War; World politics; 1945-1989; 20th century; History; Religion and politics; Religion and state; Religious aspects","Muehlenbeck, Philip E.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V33EK8SC","book","2006","Dockrill, M. L.; Hopkins, Michael F.; Dockrill, M. L.","The Cold War, 1945-1991","","978-1-4039-3338-6","","","","","2006","2025-03-24 18:51:35","2025-03-24 18:51:44","","","188","","","","","","Studies in European history","","","","Palgrave Macmillan","New York","","","","","","Library Catalog (Blacklight)","D843 .D58 2006","OCLC: 62282399","","","https://catalog.libraries.psu.edu/catalog/3020722","interlibrary","Cold War","","","","","","","","","","","","","","","","","","","","2nd ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QHWUJMML","book","2001","","The Cold War","","978-1-57958-321-7","","","","","2001","2025-03-24 18:54:19","2025-03-24 18:54:27","","","2","","","","","","The New York times 20th century in review","","","","Fitzroy Dearborn","Chicago, Ill. ; London","","","","","","Library Catalog (Blacklight)","D843 .C57724 2001","","","","https://catalog.libraries.psu.edu/catalog/2261394","interlibrary","Cold War; World politics; 20th century","Gavin, Francis J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZFAVU7CA","book","2013","","Cold War","","","","","","Description: Images relating to the Cold War including the Berlin Wall, satirical cartoons, and key political figures such as JFK, Nikita Khrushchev and Dr Henry Kissinger","2013","2025-03-24 18:59:46","2025-03-24 18:59:54","","","1","","","","","","","","","","Adam Matthew Digital","Marlborough, Wiltshire","","","","","","Library Catalog (Blacklight)","Cold War","","","","https://catalog.libraries.psu.edu/catalog/36817054","web","Pacifism; Politics","Adam Matthew Digital (Firm)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MALJR4RI","book","1999","Painter, David S.","The Cold War: an international history","","9780203202555 9780203010037 9780415194464 9780415153164 9781134742530 9780203277621 9786610194858","","","","""David Painter provides a compact and analytical study that examines the origins, the course, and the end of the Cold War. His overview is global in perspective and focuses on the interaction of international rivalries and national politics and policies. In addition to the geopolitical rivalry between the United States and the Soviet Union that was at the center of the Cold War, he examines such important issues as changes in the global distribution of power, the dynamics of the arms race, ideological divisions within and among nations, the evolution of the world economy, and the political and economic transformations of the Third World.""--Jacket","1999","2025-03-24 19:00:57","2025-03-24 19:01:00","","","1","","","","","The Cold War","Making of the contemporary world","","","","Routledge","London ; New York","","","","","","Library Catalog (Blacklight)","D843 .P25 1999eb","OCLC: 53181569","","","https://catalog.libraries.psu.edu/catalog/43316024","web","1945-; Cold War; World politics; Guerre froide; 1945; 20th Century; GUERRA FRIA; HISTORY; Koude Oorlog; Modern; Oost-Westverhouding; POLÍTICA INTERNACIONAL; Since 1945","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YPV77KZK","book","2020","","The Cold War: the definitive encyclopedia and document collection","","978-1-4408-6076-8","","","","This set covers the Cold War between the USSR and the U.S., from the end of World War II, through the Berlin Wall and the Cuban Missile Crisis, to the 1991 collapse of the Soviet Union. It provides entries on all aspects, including wars, new military technologies, diplomatic initiatives, espionage activities, important individuals and organizations, economic developments, societal and cultural events, and more. Includes primary source documents, illustrations, maps, and more","2020","2025-03-24 19:01:44","2025-03-24 19:01:50","","","1","","","","","The Cold War","Gale eBooks","","","","ABC-CLIO, An Imprint of ABC-CLIO, LLC","Santa Barbara, California","","","","","","Library Catalog (Blacklight)","D840 .C643 2020","OCLC: 1137749017","","","https://catalog.libraries.psu.edu/catalog/34148087","web","Cold War; World politics; 1945-1989; Encyclopedias; 1985-1995; Sources","Tucker, Spencer; Pierpaoli, Paul G.; Dowling, Timothy C.; Roberts, Priscilla; Gale (Firm)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BD8WG28D","book","2014","Vowinckel, Annette; Payk, Marcus M.; Lindenberger, Thomas","Cold War Cultures: Perspectives on Eastern and Western European Societies","","978-1-78238-388-8","","","http://SK8ES4MC2L.search.serialssolutions.com/?sid=sersol&SS_jc=TC0002138600&title=Cold%20War%20Cultures%3A%20Perspectives%20on%20Eastern%20and%20Western%20European%20Societies","Annotation The Cold War was not only about the imperial ambitions of the super powers, their military strategies, & antagonistic ideologies. It was also about conflicting worldviews & their correlates in the daily life of the societies involved. The term 'Cold War Culture' is often used in a broad sense to describe media influences, social practices, & symbolic representations as they shape, & are shaped by, international relations. Yet, it remains in question whether the Cold War Culture model can be applied to European societies, both in the East & the West. While every European country had to adapt to the constraints imposed by the Cold War, individual development was affected by specific conditions as detailed in these chapters. This volume offers an important contribution to the international debate on this issue of the Cold War impact on everyday life by providing a better understanding of its history & legacy","2014","2025-03-24 19:03:40","2025-03-24 19:03:50","2025-03-24 19:03:40","","396","","","","","Cold War Cultures","","","","","Berghahn Books, Incorporated","New York","","","","","","Library Catalog (Blacklight)","D1055.C53 2014","Medium: electronic resource","","","https://catalog.libraries.psu.edu/catalog/43597422","web","Electronic books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
